time,signal
78.10300000000001,-5.774526912934452
77.065,-13.450653569106777
35.209,-2.283097087124047
27.224,-13.084481105615454
85.904,-3.724652063072984
41.792,5.825922549340443
93.679,13.083788267067096
53.307,2.557447017346859
98.59700000000001,-8.41401982752899
77.09,-11.98179068594963
40.259,-2.779765009021027
68.345,-17.202419760474836
3.076,11.029733422748011
69.316,-6.750460603177637
2.5540000000000003,11.475832869623046
9.959,3.905336402561247
12.164,8.3435146433808
62.543,6.074335269263269
31.038,11.305307949885385
27.345,-10.559384090128152
57.655,-1.8752953149842795
58.015,1.0637645570857535
79.775,1.0079950007520408
52.27,12.47316264220711
73.136,12.139834266237523
91.021,8.040469609012987
3.007,12.04770199974409
52.463,10.204930163093998
64.2,13.524602010557278
91.296,9.162986648602196
9.541,2.0003203146896285
85.993,-1.8489384407749965
58.999,-5.958782376421466
53.116,3.7821045882317783
96.32600000000001,-10.689256264691164
60.764,1.56716401921351
27.766000000000002,-7.855998967750822
16.069,1.4677904620777658
34.52,1.2578969546152203
87.57300000000001,-8.31500665401105
85.773,-0.5797111654551761
18.43,-9.211509895979747
32.208,5.883019731892009
26.107,-14.081898204609958
22.864,12.701231422312468
11.887,3.0718731561125496
20.79,0.909557254171256
78.036,-6.642871572097909
79.709,-0.8336985103570707
92.09,11.504062026483808
82.96000000000001,2.276519015981702
63.204,11.576801929673747
73.683,4.826151861095884
96.322,-8.885485179647855
88.917,-14.502715879433868
47.107,-18.233617141027768
58.258,-2.1313130455907174
8.941,-2.1177201096404317
60.708,1.7812383933120097
14.991,3.0646677959855415
51.64,15.04874410180361
50.329,4.808933713986644
77.113,-13.115805242147145
98.687,-4.9879129595100435
26.958000000000002,-15.133699450398687
1.298,11.590039866923327
14.543000000000001,2.097215695636978
88.599,-12.393282491958187
47.988,-11.944581344203552
56.239000000000004,-8.55936216766024
33.572,5.732221985497018
18.743000000000002,-10.36721710980939
44.078,7.171637804992354
64.408,10.572413967125192
83.68900000000001,3.6716624353676997
64.798,5.09452232921599
90.789,7.187265601904806
10.176,5.0234948811403575
17.186,-11.184619553924492
7.833,-8.404043227605264
99.897,7.595318072257972
1.841,10.944432754935029
72.101,13.765632650788492
43.968,11.824439079245142
99.938,8.292029137591195
5.014,-8.615436005347423
58.619,-4.946684831882998
43.705,9.044553823319983
12.958,7.681353984776614
98.014,-13.147052176770837
72.307,16.34623496371354
66.625,-5.412135510856608
40.676,-3.749754327738379
77.83500000000001,-7.265406931533435
63.453,14.41128782862504
11.098,1.7175936570881336
16.008,1.0012697966644235
95.401,-9.495640856081073
97.266,-12.873658225648336
10.775,0.8068641616672552
51.854,14.7350721693398
50.108000000000004,2.782415738096116
68.367,-16.493358850486825
99.48400000000001,2.108844659000613
