time_sec,signal
0,-1.0058337979449448
1000,-0.010733247075230892
2000,0.5101767554752464
3000,0.6463319055192727
4000,0.36204721233621623
5000,-0.23809233685368025
6000,-0.8740686732532068
7000,1.1059126433893347
8000,-0.9733803351105744
9000,1.3442211054211604
10000,0.004360522627160246
11000,-0.6649867831427917
12000,1.2170215042728447
13000,0.9831300031491728
14000,0.2249856608333728
15000,0.6002183913111063
16000,-0.9820006758218484
17000,0.8037244243555917
18000,0.001028825491779184
19000,1.4544226188365756
20000,1.497239213400439
21000,-1.46995854338042
22000,2.4750422447563336
23000,1.6766768920819983
24000,1.4437652207726046
25000,1.2614127738462486
26000,2.527681468542204
27000,1.6986163348217527
28000,2.8764686995676123
29000,0.8010484403143108
30000,2.969809848580974
31000,0.8633974719384391
32000,0.7589415464931535
33000,4.156935384484851
34000,2.6315900358987188
35000,2.221159715580098
36000,1.5135099554096476
37000,1.3025624988792344
38000,3.191608755929188
39000,2.250546418592448
40000,-0.45990379424790717
41000,2.6159502081470745
42000,1.70587390211471
43000,1.834410198982044
44000,3.455475816313286
45000,3.7787019052094073
46000,1.2634590723073515
47000,1.8146416146215985
48000,1.1996421915347402
49000,1.5547288903870615
50000,3.380503782402565
51000,4.697366640200923
52000,3.347907994633543
53000,4.6227196931696195
54000,2.8497041765261577
55000,2.4867228827297545
56000,1.526153545326872
57000,4.583466510586719
58000,1.4990905441719335
59000,2.712728468681658
60000,4.107484465914968
61000,3.3860152886148107
62000,4.067204599897062
63000,3.655522071165377
64000,3.4866416982376593
65000,3.491600408006987
66000,0.670524916468179
67000,4.218619974181983
68000,3.1785643248029802
69000,3.5813993875025205
70000,2.7765582042803247
71000,3.7201985314404924
72000,5.863273397486564
73000,2.6002840150258
74000,4.700489100013549
75000,3.1259745459739974
76000,4.7198664048359635
77000,4.763444535848392
78000,5.507795778161901
79000,4.002405138494663
80000,6.069737749854856
81000,5.123342538822655
82000,1.5827657275686406
83000,3.897158098420044
84000,5.415031980818028
85000,4.756564625465148
86000,5.990313801927877
87000,5.204417396550692
88000,3.2266203887590947
89000,4.3432151073276595
90000,4.291238640693372
91000,5.352471980076832
92000,8.612387064798645
93000,4.302209362010931
94000,6.980871075584089
95000,5.914892899303639
96000,3.725862314626225
97000,4.202834319465052
98000,6.996207776559161
99000,5.379040865738705
100000,7.121038580846185
101000,6.778974364527867
102000,5.39824751173694
103000,4.296222977536083
104000,6.460173549874771
105000,5.562079067940355
106000,3.7602633548154922
107000,5.38496795519248
108000,5.632854045600623
109000,6.811747074004227
110000,6.888196397861385
111000,5.129341511461537
112000,7.667309642453546
113000,7.685802201342983
114000,6.298552213191442
115000,6.288247936114137
116000,6.103905828475377
117000,8.29500651186594
118000,5.900950461754154
119000,5.806345137960386
120000,5.558328663841546
121000,6.703302247650589
122000,6.398547446221222
123000,7.5598033648047105
124000,6.08608494729539
125000,6.8456750919693405
126000,6.481915544774613
127000,4.777550131067995
128000,6.713202275044231
129000,9.682230530071896
130000,7.171850822033071
131000,6.6158098905290705
132000,7.359208441244195
133000,8.041913774383474
134000,6.90043940597247
135000,7.885518144666645
136000,8.16181327973431
137000,7.570960253154705
138000,8.308639036091199
139000,8.410123458955164
140000,9.912360350499522
141000,8.220819944205875
142000,9.006879104280832
143000,6.883221099685189
144000,9.378971962914688
145000,8.387564368545982
146000,8.315272919621446
147000,7.941571185442447
148000,7.866982034236539
149000,7.682361617975641
150000,7.879883482094666
151000,7.2673503181402275
152000,7.347679511664834
153000,6.801786026685768
154000,7.586093643154434
155000,9.737935840735878
156000,10.182525706730337
157000,7.644805330203818
158000,11.030656100301744
159000,8.04108961611875
160000,9.342105312941507
161000,6.378985568837614
162000,8.181437494059372
163000,10.33471669966268
164000,8.354917651932274
165000,11.364730919630396
166000,8.686462479723511
167000,8.806633176232138
168000,10.209527315698201
169000,10.472937064138616
170000,10.978687641844738
171000,9.687678027596634
172000,9.826264822995965
173000,9.265265632048358
174000,9.461022767086137
175000,11.428037737263463
176000,11.020076896343143
177000,10.24193304850555
178000,10.859359161138247
179000,11.432088569499555
180000,9.826166436582138
181000,12.2465989594291
182000,10.270327822703019
183000,11.175189094012925
184000,9.064992569333288
185000,11.407530610797256
186000,12.115449825738509
187000,10.812509885387339
188000,9.49152710404414
189000,8.399404317123528
190000,9.139906357857681
191000,9.242327418276467
192000,9.921481271759529
193000,10.611445378215848
194000,10.168283996624902
195000,11.180615609680727
196000,12.98739925808321
197000,10.510782989326424
198000,9.835364437492045
199000,10.284963872273524
200000,12.199569738714493
201000,11.644735429802148
202000,12.24995930310558
203000,12.824163726623826
204000,12.890734405077826
205000,12.123188992655244
206000,11.8392195324025
207000,11.280197487850748
208000,13.29837543147497
209000,10.369154156108467
210000,11.518596799989187
211000,9.492128584231361
212000,11.244497886258436
213000,11.171047958137788
214000,12.940123667182139
215000,13.909249417648251
216000,13.619911156955233
217000,10.491172764107052
218000,10.086648026782285
219000,12.902548029981604
220000,14.207893059950635
221000,12.428546169328012
222000,13.497832593825947
223000,12.477374058869945
224000,12.076285203034328
225000,12.470293984076596
226000,10.802377162188243
227000,13.349761666893167
228000,14.49468592182688
229000,12.56153682293243
230000,14.788525042345547
231000,13.42241038421319
232000,13.518919216659993
233000,13.688651735821521
234000,13.29884567033351
235000,13.583196206388655
236000,14.2476823360162
237000,14.83013237601157
