Wavelength_nm,SSI_Wm3
202.0,0.007934212679954767
202.1,0.007914421281774043
202.2,0.007887106954350472
202.3,0.007861121378041507
202.4,0.007846185416264535
202.5,0.007851200702426434
202.6,0.007882431348924638
202.7,0.007942195177252294
202.8,0.00802828426262498
202.9,0.008134574361183644
203.0,0.00825275328550458
203.1,0.008374398951455355
203.2,0.008493017462611198
203.3,0.008605202021001577
203.4,0.008710792776868342
203.5,0.008812007645605802
203.6,0.008912233443964721
203.7,0.009014657176498176
203.8,0.009121426824331282
203.9,0.009233131833447218
204.0,0.009348703208588362
204.1,0.009465743203382492
204.2,0.009580914954128265
204.3,0.009690581878827811
204.4,0.009791497029268742
204.5,0.009881412518227101
204.6,0.00995927933166504
204.7,0.010025217356901168
204.8,0.010080085786385536
204.9,0.010124923643546105
205.0,0.010160420280464887
205.1,0.01018684544360876
205.2,0.010204309029686451
205.3,0.010213210663093329
205.4,0.01021473922640562
205.5,0.010211112635017632
205.6,0.010205487921652793
205.7,0.010201551621358395
205.8,0.01020297028796196
205.9,0.010212960897846223
206.0,0.010233951169213057
206.1,0.010267579562083483
206.2,0.010314735240737201
206.3,0.01037572791408062
206.4,0.010450567572723626
206.5,0.010539244226056338
206.6,0.010641997648715974
206.7,0.010759487220954895
206.8,0.010892582125833035
206.9,0.011041971715432405
207.0,0.011207476158775091
207.1,0.011387287155472041
207.2,0.011577678208036422
207.3,0.011773014612493516
207.4,0.011966632632050514
207.5,0.012152288135529756
207.6,0.01232559524519205
207.7,0.012485924552614689
207.8,0.012637192376872301
207.9,0.012787920708196163
208.0,0.01295049790284276
208.1,0.013139210532946586
208.2,0.013368005489906073
208.3,0.013648302040818931
208.4,0.013987213499922753
208.5,0.014386608111265898
208.6,0.01484377841956973
208.7,0.01535237039694786
208.8,0.015903682222191094
208.9,0.016488122909810544
209.0,0.01709605152126789
209.1,0.017718396582788228
209.2,0.01834740538110137
209.3,0.018977283362474444
209.4,0.019605063315771817
209.5,0.02023107493111968
209.6,0.020858894846856595
209.7,0.021493798105001446
209.8,0.022140909888424872
209.9,0.022801898628977538
210.0,0.023472618223557472
210.1,0.024142328766539097
210.2,0.024793336887817385
210.3,0.025405071921640633
210.4,0.025959450864118338
210.5,0.026447172457448244
210.6,0.026873271969012024
210.7,0.027259888590313194
210.8,0.027644077493412494
210.9,0.028071106131695507
211.0,0.028584103968032598
211.1,0.0292130728039062
211.2,0.029965305784531833
