57.32453 4105.16814 49.00000 404.97959
67.37630 4784.65057 37.00000 219.29730
75.21544 5408.84530 63.00000 870.15873
82.40719 6649.54094 32.00000 163.71875
88.94344 5907.46401 36.00000 205.72222
97.09384 7212.77657 32.00000 166.09375
102.24413 7745.46272 35.00000 195.08571
117.15479 9758.23213 29.00000 132.82759
119.95080 8587.42397 33.00000 172.12121
121.94231 7846.98905 32.00000 160.00000
127.95316 8679.37703 36.00000 206.86111
132.72896 10441.07835 32.00000 165.68750
135.96876 8993.34053 41.00000 279.17073
150.81895 10685.61621 41.00000 287.36585
159.22961 11993.63227 31.00000 156.58065
177.25336 12827.07066 36.00000 207.19444
184.30069 13694.69630 35.00000 195.08571
185.75744 14639.21748 34.00000 184.29412
201.16512 14880.00211 65.00000 848.30769
202.72545 13507.45186 29.00000 135.44828
215.56250 14995.51819 29.00000 134.89655
236.25824 17371.62409 34.00000 183.55882
236.49649 15576.59672 37.00000 216.00000
239.17551 16690.24635 30.00000 146.00000
262.69186 18207.52737 33.00000 173.69697
275.27162 22421.45681 33.00000 173.93939
280.63555 18983.48540 30.00000 142.16667
304.24639 21202.41137 28.00000 123.71429
310.33529 23659.60713 34.00000 183.67647
392.29822 26327.36690 34.00000 184.61765
468.11786 30240.34802 28.00000 126.42857
